1809,2095,TULA
4736,2141,OJITE
5375,2120,ACATL
9159,2171,ANAHI
13136,2246,GALOS
13549,2210,OJITE
18470,2240,SORIA
19468,2088,ALAMO
32367,1677,LUGUA
34316,1737,AXAMILPA
14669,2211,"13 DE NOVIEMBRE"
21750,2258,"13 DE SEPTIEMBRE"
22076,2259,"13 NEGRO"
29660,1625,"15 DE SEPTIEMBRE"
32822,1684,"15 DE SEPTIEMBRE"
32764,1684,"18 DE MARZO"
13380,2210,"1 MENDEZ"
14402,2211,"20 DE NOVIEMBRE"
5045,2117,"21 DE JULIO"
11627,2201,"22 DE SEPTIEMBRE"
9149,2171,"24 DE FEBRERO"
24272,2286,"24 DE MARZO"
32657,1681,"28 DE ABRIL"
22388,2262,"30 DE ABRIL"
28622,1571,"3 DE MAYO"
19496,2088,"5 DE FEBRERO"
31381,1647,"5 DE JULIO"
9431,2171,"5 DE MAYO"
6968,2147,"5 DE OCTUBRE"
32840,1684,"6 DE JUNIO"
23578,2275,AARON JONGITUD
25520,2278,AARON VENTURA
14929,2213,ABABAY
13043,2208,ABAD GUZMAN RIVERA (LAS OCHENTA Y CINCO)
2152,2099,ABALOMA CUAUTLA
29499,1619,ABASOLO
15296,2216,ABASOLO DEL VALLE
23142,2269,ABATEMPA
15442,2216,ABDIAS LINARES
17075,2230,ABELARDO CASTILLO (EL TORNILLO)
31687,1655,ABELARDO L. RODRIGUEZ
24185,2285,ABEL AYALA
8049,2158,ABEL BALDERAS
12857,2208,ABEL DEL ANGEL
20378,2246,ABEL ESCOBAR VICENCIO
462,2083,ABEL FREYDI MORALES
16882,2229,ABELINO LAGUNES
16829,2229,ABELINO LAGUNES
25282,2274,ABEL MARTINEZ
7262,2151,ABEL PATRACA PACHECO
15387,2216,ABEL RAMOS ROMERO
15384,2216,ABEL VIVEROS
23143,2269,ABEXOTLAMPA (LOS CAPULINES)
7949,2158,ABILEENE
5616,2121,ABRAHAM RAMOS
24842,2087,ABRAHAM RIVERA
2975,2113,ABRAHAM RODRIGUEZ
811,2085,ABREVADERO
16048,2225,ABREVADERO
2055,2176,ABRIL LAGUNES
24530,2290,ACAHUALCO
32475,1679,ACAHUALES (EL AGUACATE)
55,2081,ACAJETE
28444,1569,ACAJETE
24653,2081,ACAJETE
17709,2237,ACALA
30160,1605,ACALAMA
32456,1679,ACALAPA
11363,2196,ACALAPA DOS (KILOMETRO 17)
11350,2196,ACALAPA TRES
11462,2196,ACALAPA UNO
34980,1755,ACALMAN
32576,1681,ACALMANCILLO
30184,1604,ACALOCOTLA
29309,1594,ACALTZONTAN
34889,1754,ACAMALOTA
15199,2215,ACAMALUCO
33472,1712,ACAMIQUE
7351,2153,ACANTILADO (SAN JOSECITO)
947,2089,ACAPIXTLA
6052,2179,ACAPULCO
8876,2169,ACAPULCO
24406,2289,ACAPULCO (EL CRUCERO DE ZENTLA)
9291,2171,ACATENGO (RANCHO MANUEL FLORES)
36112,1784,ACATENO
29370,1596,ACATEPEC
36123,1785,ACATEPEC (SAN ANTONIO)
2694,2107,ACATICPAC
8386,2164,ACATIPAN
2453,2102,ACATITAN
5202,2120,ACATITLA
2106,2098,ACATITLA
23135,2269,ACATITLA (TEXMOLA)
850,2086,ACATLA
34429,1740,ACATLAN
56,2082,ACATLAN
31088,1641,ACATLAN
28649,1571,ACATLAN 1 (FOVISSSTE)
28593,1571,ACATLAN DE OSORIO
35931,1780,ACATZACATA
24697,2292,ACATZACATL
29074,1588,ACATZINGO
28694,1572,ACATZINGO DE HIDALGO
5022,2117,ACATZINTLA
29225,1589,ACATZIZIMITLA (CASCADAS DE ACATZIZIMITLA)
29694,1627,ACAXILOCO
31882,1657,ACAXOXUCA
28927,1579,ACAXTLAHUACAN DE ALBINO ZERTUCHE
28930,1579,ACAXTLAHUACAN DE ALBINO ZERTUCHE (SN MIGUEL)
1784,2094,ACAYOJALPAN
3998,2135,ACAYOTLA
31603,1653,ACAYUCAN
14882,2213,ACAZONICA
18512,2241,ACECECA
5049,2117,ACHATITLA
